Date,Product,Category,Region,Quantity,Discount (%),Sales,Profit,Year,Month,Month_Name,Day_No,Day_Name,Quarter
2022-06-16,Tablet,Electronics,West,5,5,95000.0,12811.29,2022,6,June,16,Thursday,2
2023-01-23,Laptop,Electronics,West,5,15,297500.0,88414.64,2023,1,January,23,Monday,1
2023-08-24,Headphones,Accessories,East,4,15,10200.0,2866.38,2023,8,August,24,Thursday,3
2022-11-12,Laptop,Electronics,West,4,15,309400.0,50695.6,2022,11,November,12,Saturday,4
2022-01-14,Laptop,Electronics,North,4,5,266000.0,76151.03,2022,1,January,14,Friday,1
2022-08-30,Smartwatch,Wearables,East,2,10,14400.0,1608.74,2022,8,August,30,Tuesday,3
2024-02-16,Headphones,Accessories,North,5,0,15000.0,2799.23,2024,2,February,16,Friday,1
2023-07-19,Phone,Electronics,West,4,20,96000.0,28569.47,2023,7,July,19,Wednesday,3
2024-06-16,Camera,Electronics,West,5,15,170000.0,20915.57,2024,6,June,16,Sunday,2
2022-04-02,Headphones,Accessories,West,5,10,13500.0,2813.95,2022,4,April,2,Saturday,2
2024-08-13,Tablet,Electronics,South,2,15,34000.0,5097.83,2024,8,August,13,Tuesday,3
2023-05-24,Smartwatch,Wearables,North,4,20,25600.0,6261.33,2023,5,May,24,Wednesday,2
2024-02-15,Laptop,Electronics,South,2,20,112000.0,28827.83,2024,2,February,15,Thursday,1
2022-02-04,Laptop,Electronics,South,4,20,224000.0,44338.8,2022,2,February,4,Friday,1
2022-07-25,Camera,Electronics,West,5,0,200000.0,59901.93,2022,7,July,25,Monday,3
2024-10-22,Headphones,Accessories,North,4,5,11400.0,3154.08,2024,10,October,22,Tuesday,4
2024-10-18,Phone,Electronics,East,1,10,27000.0,4510.21,2024,10,October,18,Friday,4
2023-07-20,Phone,Electronics,South,2,10,54000.0,9686.86,2023,7,July,20,Thursday,3
2023-12-04,Headphones,Accessories,North,3,15,9945.0,2585.68,2023,12,December,4,Monday,4
2023-02-06,Laptop,Electronics,West,2,15,119000.0,28767.57,2023,2,February,6,Monday,1
2023-12-31,Phone,Electronics,South,2,0,78000.0,13539.29,2023,12,December,31,Sunday,4
2022-06-11,Tablet,Electronics,West,1,0,20000.0,5885.61,2022,6,June,11,Saturday,2
2022-07-21,Camera,Electronics,East,5,5,190000.0,32303.98,2022,7,July,21,Thursday,3
2024-09-22,Camera,Electronics,East,2,15,68000.0,15576.5,2024,9,September,22,Sunday,3
2022-09-27,Headphones,Accessories,South,2,0,6000.0,745.81,2022,9,September,27,Tuesday,3
2024-03-26,Phone,Electronics,North,4,0,120000.0,19238.32,2024,3,March,26,Tuesday,1
2023-04-01,Smartwatch,Wearables,North,3,15,20400.0,4276.67,2023,4,April,1,Saturday,2
2024-10-13,Laptop,Electronics,East,5,15,297500.0,70158.17,2024,10,October,13,Sunday,4
2022-10-23,Laptop,Electronics,West,5,5,332500.0,55704.14,2022,10,October,23,Sunday,4
2023-12-21,Smartwatch,Wearables,South,1,0,10400.0,1567.69,2023,12,December,21,Thursday,4
2022-12-04,Camera,Electronics,East,4,10,187200.0,28581.83,2022,12,December,4,Sunday,4
2024-05-28,Laptop,Electronics,East,4,20,224000.0,58615.53,2024,5,May,28,Tuesday,2
2024-12-12,Laptop,Electronics,East,3,15,232050.0,59473.96,2024,12,December,12,Thursday,4
2024-03-02,Phone,Electronics,West,1,20,24000.0,6803.64,2024,3,March,2,Saturday,1
2022-08-05,Camera,Electronics,South,3,15,102000.0,20433.25,2022,8,August,5,Friday,3
2024-02-03,Smartwatch,Wearables,West,3,5,22800.0,5306.78,2024,2,February,3,Saturday,1
2022-07-07,Camera,Electronics,West,5,15,170000.0,34868.69,2022,7,July,7,Thursday,3
2023-01-15,Smartwatch,Wearables,East,5,20,32000.0,5253.64,2023,1,January,15,Sunday,1
2023-05-08,Laptop,Electronics,East,5,15,297500.0,74905.28,2023,5,May,8,Monday,2
2024-11-30,Phone,Electronics,South,2,0,78000.0,18730.99,2024,11,November,30,Saturday,4
2022-01-15,Smartwatch,Wearables,East,1,10,7200.0,798.89,2022,1,January,15,Saturday,1
2022-03-06,Smartwatch,Wearables,East,4,10,28800.0,6542.64,2022,3,March,6,Sunday,1
2023-06-05,Camera,Electronics,West,3,20,96000.0,25697.52,2023,6,June,5,Monday,2
2023-10-10,Phone,Electronics,South,5,0,150000.0,25866.85,2023,10,October,10,Tuesday,4
2024-12-22,Camera,Electronics,West,2,0,104000.0,16100.33,2024,12,December,22,Sunday,4
2023-08-16,Phone,Electronics,West,5,5,142500.0,35925.91,2023,8,August,16,Wednesday,3
2023-01-27,Laptop,Electronics,South,4,15,238000.0,43714.36,2023,1,January,27,Friday,1
2023-02-23,Phone,Electronics,North,3,0,90000.0,9404.86,2023,2,February,23,Thursday,1
2022-10-16,Headphones,Accessories,North,1,15,2550.0,500.67,2022,10,October,16,Sunday,4
2023-01-14,Laptop,Electronics,East,3,5,199500.0,23946.76,2023,1,January,14,Saturday,1
2022-08-19,Phone,Electronics,East,4,0,120000.0,12396.89,2022,8,August,19,Friday,3
2024-10-14,Laptop,Electronics,East,2,10,126000.0,27226.54,2024,10,October,14,Monday,4
2022-02-10,Phone,Electronics,North,5,15,127500.0,23697.69,2022,2,February,10,Thursday,1
2024-11-17,Laptop,Electronics,East,2,10,163800.0,28562.14,2024,11,November,17,Sunday,4
2022-05-15,Headphones,Accessories,South,4,20,9600.0,2672.27,2022,5,May,15,Sunday,2
2022-07-20,Laptop,Electronics,East,5,15,297500.0,50892.71,2022,7,July,20,Wednesday,3
2024-02-19,Headphones,Accessories,North,4,0,12000.0,2851.47,2024,2,February,19,Monday,1
2024-07-18,Camera,Electronics,North,1,20,32000.0,4124.64,2024,7,July,18,Thursday,3
2024-11-22,Laptop,Electronics,South,1,5,86450.0,15838.52,2024,11,November,22,Friday,4
2024-12-07,Tablet,Electronics,North,1,10,23400.0,4839.6,2024,12,December,7,Saturday,4
2023-05-18,Smartwatch,Wearables,North,2,5,15200.0,2239.87,2023,5,May,18,Thursday,2
2023-02-11,Camera,Electronics,North,4,20,128000.0,37058.62,2023,2,February,11,Saturday,1
2024-03-15,Camera,Electronics,East,2,15,68000.0,16718.02,2024,3,March,15,Friday,1
2022-04-09,Camera,Electronics,West,4,5,152000.0,23699.67,2022,4,April,9,Saturday,2
2023-11-15,Smartwatch,Wearables,East,4,5,39520.0,10947.98,2023,11,November,15,Wednesday,4
2023-12-27,Smartwatch,Wearables,East,3,15,26520.0,3605.09,2023,12,December,27,Wednesday,4
2024-08-18,Camera,Electronics,East,5,15,170000.0,32915.82,2024,8,August,18,Sunday,3
2023-09-05,Camera,Electronics,West,2,5,76000.0,13408.15,2023,9,September,5,Tuesday,3
2023-10-05,Phone,Electronics,East,1,5,28500.0,3971.83,2023,10,October,5,Thursday,4
2024-10-25,Laptop,Electronics,North,4,5,266000.0,48350.48,2024,10,October,25,Friday,4
2023-05-18,Smartwatch,Wearables,South,1,0,8000.0,921.54,2023,5,May,18,Thursday,2
2024-02-06,Smartwatch,Wearables,South,5,20,32000.0,5193.0,2024,2,February,6,Tuesday,1
2023-02-02,Phone,Electronics,South,5,15,127500.0,25332.83,2023,2,February,2,Thursday,1
2024-05-20,Headphones,Accessories,North,2,20,4800.0,874.07,2024,5,May,20,Monday,2
2024-03-05,Tablet,Electronics,East,3,5,57000.0,8714.98,2024,3,March,5,Tuesday,1
2023-01-28,Phone,Electronics,South,4,20,96000.0,23018.61,2023,1,January,28,Saturday,1
2022-07-26,Smartwatch,Wearables,West,3,15,20400.0,3159.76,2022,7,July,26,Tuesday,3
2024-11-04,Smartwatch,Wearables,East,1,20,8320.0,1318.91,2024,11,November,4,Monday,4
2024-06-10,Headphones,Accessories,East,3,0,9000.0,1453.43,2024,6,June,10,Monday,2
2024-05-13,Headphones,Accessories,East,1,0,3000.0,397.36,2024,5,May,13,Monday,2
2024-01-13,Phone,Electronics,West,1,15,25500.0,2737.09,2024,1,January,13,Saturday,1
2023-07-18,Headphones,Accessories,North,5,0,15000.0,3249.3,2023,7,July,18,Tuesday,3
2024-10-17,Laptop,Electronics,North,2,5,133000.0,26845.92,2024,10,October,17,Thursday,4
2022-04-06,Camera,Electronics,West,3,20,96000.0,26275.32,2022,4,April,6,Wednesday,2
2023-04-30,Laptop,Electronics,East,3,0,210000.0,50680.72,2023,4,April,30,Sunday,2
2022-08-19,Headphones,Accessories,East,1,10,2700.0,274.51,2022,8,August,19,Friday,3
2024-01-19,Phone,Electronics,South,2,10,54000.0,16057.4,2024,1,January,19,Friday,1
2023-06-25,Camera,Electronics,South,5,15,170000.0,35549.13,2023,6,June,25,Sunday,2
2024-11-25,Camera,Electronics,West,4,20,166400.0,35330.59,2024,11,November,25,Monday,4
2023-06-09,Headphones,Accessories,West,4,0,12000.0,1427.24,2023,6,June,9,Friday,2
2023-08-01,Laptop,Electronics,South,4,15,238000.0,55203.86,2023,8,August,1,Tuesday,3
2023-11-13,Headphones,Accessories,West,1,20,3120.0,840.08,2023,11,November,13,Monday,4
2023-07-11,Camera,Electronics,West,3,10,108000.0,20957.38,2023,7,July,11,Tuesday,3
2024-10-09,Tablet,Electronics,West,2,5,38000.0,4807.62,2024,10,October,9,Wednesday,4
2023-10-08,Laptop,Electronics,East,1,15,59500.0,10277.17,2023,10,October,8,Sunday,4
2024-03-06,Camera,Electronics,North,5,15,170000.0,36650.29,2024,3,March,6,Wednesday,1
2024-11-17,Tablet,Electronics,East,3,20,62400.0,15168.9,2024,11,November,17,Sunday,4
2022-07-09,Headphones,Accessories,West,3,15,7650.0,1012.36,2022,7,July,9,Saturday,3
2023-09-25,Phone,Electronics,West,5,0,150000.0,21647.8,2023,9,September,25,Monday,3
2023-09-20,Headphones,Accessories,West,5,15,12750.0,2949.64,2023,9,September,20,Wednesday,3
2024-08-30,Smartwatch,Wearables,West,5,20,32000.0,4036.0,2024,8,August,30,Friday,3
2023-12-11,Camera,Electronics,South,2,5,98800.0,19005.3,2023,12,December,11,Monday,4
2023-10-11,Camera,Electronics,North,2,5,76000.0,20835.04,2023,10,October,11,Wednesday,4
2022-11-14,Laptop,Electronics,West,2,20,145600.0,19587.78,2022,11,November,14,Monday,4
2023-11-15,Phone,Electronics,West,1,0,39000.0,11559.91,2023,11,November,15,Wednesday,4
2023-10-26,Tablet,Electronics,North,4,10,72000.0,21166.44,2023,10,October,26,Thursday,4
2023-03-18,Smartwatch,Wearables,North,2,15,13600.0,2892.64,2023,3,March,18,Saturday,1
2023-07-18,Camera,Electronics,West,4,10,144000.0,37215.85,2023,7,July,18,Tuesday,3
2024-08-09,Laptop,Electronics,South,5,0,350000.0,36038.11,2024,8,August,9,Friday,3
2023-11-30,Smartwatch,Wearables,East,1,10,9360.0,1088.15,2023,11,November,30,Thursday,4
2022-04-23,Smartwatch,Wearables,West,2,20,12800.0,2891.96,2022,4,April,23,Saturday,2
2022-01-02,Tablet,Electronics,West,1,20,16000.0,3097.16,2022,1,January,2,Sunday,1
2023-10-04,Laptop,Electronics,East,4,10,252000.0,65677.46,2023,10,October,4,Wednesday,4
2022-08-08,Laptop,Electronics,North,2,0,140000.0,17353.47,2022,8,August,8,Monday,3
2024-05-04,Headphones,Accessories,South,4,20,9600.0,1864.9,2024,5,May,4,Saturday,2
2023-01-20,Tablet,Electronics,West,1,0,20000.0,2975.36,2023,1,January,20,Friday,1
2024-12-12,Laptop,Electronics,West,2,5,172900.0,38027.77,2024,12,December,12,Thursday,4
2023-12-31,Tablet,Electronics,West,1,0,26000.0,4352.22,2023,12,December,31,Sunday,4
2022-09-04,Smartwatch,Wearables,West,3,15,20400.0,5694.53,2022,9,September,4,Sunday,3
2024-04-15,Phone,Electronics,North,3,10,81000.0,23892.94,2024,4,April,15,Monday,2
2022-07-22,Smartwatch,Wearables,East,4,5,30400.0,7306.52,2022,7,July,22,Friday,3
2022-05-03,Tablet,Electronics,North,4,15,68000.0,13299.13,2022,5,May,3,Tuesday,2
2023-02-05,Camera,Electronics,West,4,20,128000.0,28244.68,2023,2,February,5,Sunday,1
2024-02-06,Smartwatch,Wearables,East,2,5,15200.0,4527.12,2024,2,February,6,Tuesday,1
2022-10-21,Smartwatch,Wearables,South,4,5,30400.0,7505.05,2022,10,October,21,Friday,4
2022-10-07,Smartwatch,Wearables,North,1,15,6800.0,819.26,2022,10,October,7,Friday,4
2024-06-02,Phone,Electronics,North,1,5,28500.0,6782.1,2024,6,June,2,Sunday,2
2022-07-17,Smartwatch,Wearables,South,3,20,19200.0,4962.13,2022,7,July,17,Sunday,3
2024-09-08,Smartwatch,Wearables,West,2,5,15200.0,1796.15,2024,9,September,8,Sunday,3
2024-01-22,Tablet,Electronics,West,1,20,16000.0,4350.49,2024,1,January,22,Monday,1
2022-05-24,Headphones,Accessories,West,1,10,2700.0,417.12,2022,5,May,24,Tuesday,2
2023-09-01,Smartwatch,Wearables,South,2,20,12800.0,1330.51,2023,9,September,1,Friday,3
2022-07-06,Tablet,Electronics,South,5,5,95000.0,25553.37,2022,7,July,6,Wednesday,3
2023-04-09,Smartwatch,Wearables,East,2,15,13600.0,3277.52,2023,4,April,9,Sunday,2
2023-10-22,Phone,Electronics,East,4,10,108000.0,14209.06,2023,10,October,22,Sunday,4
2024-02-03,Laptop,Electronics,West,4,10,252000.0,52825.25,2024,2,February,3,Saturday,1
2024-08-12,Headphones,Accessories,North,4,0,12000.0,2265.15,2024,8,August,12,Monday,3
2023-02-07,Laptop,Electronics,North,2,5,133000.0,36528.29,2023,2,February,7,Tuesday,1
2022-05-27,Headphones,Accessories,South,3,10,8100.0,1508.35,2022,5,May,27,Friday,2
2024-05-13,Camera,Electronics,North,1,20,32000.0,7649.78,2024,5,May,13,Monday,2
2023-05-04,Laptop,Electronics,East,4,20,224000.0,29180.97,2023,5,May,4,Thursday,2
2024-07-17,Headphones,Accessories,East,3,20,7200.0,1337.9,2024,7,July,17,Wednesday,3
2023-07-05,Camera,Electronics,West,3,20,96000.0,17506.32,2023,7,July,5,Wednesday,3
2022-12-04,Headphones,Accessories,West,5,10,17550.0,2301.12,2022,12,December,4,Sunday,4
2024-05-21,Phone,Electronics,North,5,5,142500.0,40999.78,2024,5,May,21,Tuesday,2
2023-10-03,Headphones,Accessories,East,4,10,10800.0,1603.43,2023,10,October,3,Tuesday,4
2023-04-18,Phone,Electronics,South,3,0,90000.0,11292.28,2023,4,April,18,Tuesday,2
2022-05-31,Phone,Electronics,North,4,20,96000.0,24798.24,2022,5,May,31,Tuesday,2
2022-09-20,Tablet,Electronics,North,1,5,19000.0,5120.92,2022,9,September,20,Tuesday,3
2022-05-24,Laptop,Electronics,East,3,0,210000.0,24052.66,2022,5,May,24,Tuesday,2
2022-12-12,Smartwatch,Wearables,West,2,5,19760.0,2255.86,2022,12,December,12,Monday,4
2023-09-16,Phone,Electronics,South,5,20,120000.0,19116.23,2023,9,September,16,Saturday,3
2024-10-13,Tablet,Electronics,East,4,5,76000.0,16190.63,2024,10,October,13,Sunday,4
2024-05-30,Camera,Electronics,South,3,5,114000.0,22854.69,2024,5,May,30,Thursday,2
2022-01-02,Laptop,Electronics,West,4,20,224000.0,61682.78,2022,1,January,2,Sunday,1
2024-06-15,Tablet,Electronics,West,4,15,68000.0,18374.85,2024,6,June,15,Saturday,2
2022-09-11,Phone,Electronics,East,2,20,48000.0,9197.59,2022,9,September,11,Sunday,3
2023-03-29,Tablet,Electronics,West,3,10,54000.0,9677.06,2023,3,March,29,Wednesday,1
2024-11-26,Tablet,Electronics,East,1,5,24700.0,3260.11,2024,11,November,26,Tuesday,4
2024-10-11,Phone,Electronics,South,3,5,85500.0,20975.0,2024,10,October,11,Friday,4
2022-01-09,Camera,Electronics,South,3,15,102000.0,19116.39,2022,1,January,9,Sunday,1
2024-03-26,Tablet,Electronics,East,2,20,32000.0,4533.29,2024,3,March,26,Tuesday,1
2022-07-27,Laptop,Electronics,East,3,10,189000.0,20101.63,2022,7,July,27,Wednesday,3
2023-02-08,Headphones,Accessories,East,3,5,8550.0,1815.21,2023,2,February,8,Wednesday,1
2022-06-01,Laptop,Electronics,East,2,20,112000.0,20497.75,2022,6,June,1,Wednesday,2
2022-02-23,Tablet,Electronics,West,1,10,18000.0,5113.7,2022,2,February,23,Wednesday,1
2023-09-20,Camera,Electronics,South,2,0,80000.0,18737.8,2023,9,September,20,Wednesday,3
2023-08-10,Phone,Electronics,South,1,0,30000.0,3310.33,2023,8,August,10,Thursday,3
2022-04-14,Phone,Electronics,North,3,20,72000.0,7975.61,2022,4,April,14,Thursday,2
2022-09-11,Smartwatch,Wearables,North,5,5,38000.0,5719.41,2022,9,September,11,Sunday,3
2023-05-25,Laptop,Electronics,East,3,20,168000.0,27709.21,2023,5,May,25,Thursday,2
2022-04-09,Phone,Electronics,East,5,10,135000.0,22822.41,2022,4,April,9,Saturday,2
2022-06-02,Phone,Electronics,West,1,15,25500.0,2803.93,2022,6,June,2,Thursday,2
2024-07-02,Smartwatch,Wearables,South,2,15,13600.0,1438.83,2024,7,July,2,Tuesday,3
2024-05-27,Phone,Electronics,South,3,15,76500.0,12076.02,2024,5,May,27,Monday,2
2022-12-04,Laptop,Electronics,West,3,20,218400.0,64132.2,2022,12,December,4,Sunday,4
2024-04-01,Headphones,Accessories,South,4,0,12000.0,1767.54,2024,4,April,1,Monday,2
2024-08-14,Tablet,Electronics,East,2,10,36000.0,9919.0,2024,8,August,14,Wednesday,3
2022-06-10,Camera,Electronics,West,5,0,200000.0,58957.62,2022,6,June,10,Friday,2
2024-03-11,Phone,Electronics,North,3,15,76500.0,11771.16,2024,3,March,11,Monday,1
2023-02-02,Tablet,Electronics,North,5,5,95000.0,21501.25,2023,2,February,2,Thursday,1
2024-03-26,Phone,Electronics,East,2,0,60000.0,7368.6,2024,3,March,26,Tuesday,1
2023-02-05,Tablet,Electronics,South,4,5,76000.0,19828.9,2023,2,February,5,Sunday,1
2023-10-02,Tablet,Electronics,West,1,20,16000.0,3479.55,2023,10,October,2,Monday,4
2024-11-22,Phone,Electronics,East,2,20,62400.0,8849.38,2024,11,November,22,Friday,4
2023-11-19,Smartwatch,Wearables,West,1,5,9880.0,2880.07,2023,11,November,19,Sunday,4
2023-04-05,Laptop,Electronics,East,1,0,70000.0,12926.71,2023,4,April,5,Wednesday,2
2024-08-12,Camera,Electronics,South,3,0,120000.0,19776.67,2024,8,August,12,Monday,3
2023-04-15,Phone,Electronics,North,2,5,57000.0,9995.74,2023,4,April,15,Saturday,2
2024-11-11,Tablet,Electronics,West,4,20,83200.0,18504.51,2024,11,November,11,Monday,4
2024-01-20,Camera,Electronics,South,5,15,170000.0,35815.6,2024,1,January,20,Saturday,1
2022-02-07,Phone,Electronics,West,1,5,28500.0,3896.31,2022,2,February,7,Monday,1
2022-08-18,Tablet,Electronics,West,2,0,40000.0,4846.23,2022,8,August,18,Thursday,3
2023-07-17,Smartwatch,Wearables,North,3,20,19200.0,3507.52,2023,7,July,17,Monday,3
2023-03-14,Tablet,Electronics,North,3,0,60000.0,14434.21,2023,3,March,14,Tuesday,1
2022-01-27,Headphones,Accessories,South,1,20,2400.0,524.77,2022,1,January,27,Thursday,1
2022-08-14,Camera,Electronics,West,1,0,40000.0,11723.2,2022,8,August,14,Sunday,3
2024-03-08,Camera,Electronics,South,5,20,160000.0,25370.74,2024,3,March,8,Friday,1
2022-10-11,Tablet,Electronics,West,1,20,16000.0,2017.45,2022,10,October,11,Tuesday,4
2024-05-28,Smartwatch,Wearables,East,1,20,6400.0,1835.29,2024,5,May,28,Tuesday,2
2024-08-17,Tablet,Electronics,South,4,0,80000.0,17870.17,2024,8,August,17,Saturday,3
2023-03-29,Phone,Electronics,North,3,10,81000.0,24028.1,2023,3,March,29,Wednesday,1
2024-10-16,Phone,Electronics,South,5,5,142500.0,14391.72,2024,10,October,16,Wednesday,4
2024-03-26,Laptop,Electronics,North,1,0,70000.0,13534.01,2024,3,March,26,Tuesday,1
2023-10-21,Camera,Electronics,West,3,0,120000.0,23651.9,2023,10,October,21,Saturday,4
2023-07-01,Headphones,Accessories,North,1,0,3000.0,810.13,2023,7,July,1,Saturday,3
2024-12-08,Headphones,Accessories,North,5,0,19500.0,2635.66,2024,12,December,8,Sunday,4
2022-01-17,Camera,Electronics,West,1,20,32000.0,3410.61,2022,1,January,17,Monday,1
2022-06-07,Camera,Electronics,West,5,0,200000.0,50491.41,2022,6,June,7,Tuesday,2
2023-04-22,Phone,Electronics,North,4,0,120000.0,15201.52,2023,4,April,22,Saturday,2
2024-12-05,Camera,Electronics,East,1,0,52000.0,5294.74,2024,12,December,5,Thursday,4
2023-06-02,Laptop,Electronics,North,3,0,210000.0,29930.24,2023,6,June,2,Friday,2
2022-04-09,Smartwatch,Wearables,West,1,15,6800.0,1405.57,2022,4,April,9,Saturday,2
2024-11-26,Laptop,Electronics,South,4,0,364000.0,66323.9,2024,11,November,26,Tuesday,4
2022-10-07,Tablet,Electronics,North,4,15,68000.0,12872.1,2022,10,October,7,Friday,4
2023-05-12,Laptop,Electronics,North,2,5,133000.0,34348.52,2023,5,May,12,Friday,2
2022-10-29,Camera,Electronics,East,2,5,76000.0,20333.91,2022,10,October,29,Saturday,4
2022-06-30,Headphones,Accessories,North,3,0,9000.0,2367.99,2022,6,June,30,Thursday,2
2023-08-30,Tablet,Electronics,West,3,5,57000.0,16984.49,2023,8,August,30,Wednesday,3
2023-12-01,Headphones,Accessories,South,4,15,13260.0,3355.08,2023,12,December,1,Friday,4
2024-09-19,Camera,Electronics,South,1,10,36000.0,9992.89,2024,9,September,19,Thursday,3
2022-07-10,Phone,Electronics,South,5,20,120000.0,33341.72,2022,7,July,10,Sunday,3
2022-09-10,Tablet,Electronics,East,2,0,40000.0,7968.97,2022,9,September,10,Saturday,3
2024-09-07,Tablet,Electronics,West,4,20,64000.0,18486.06,2024,9,September,7,Saturday,3
2024-07-16,Camera,Electronics,West,3,15,102000.0,15789.41,2024,7,July,16,Tuesday,3
2022-05-08,Laptop,Electronics,West,4,20,224000.0,54640.94,2022,5,May,8,Sunday,2
2022-01-18,Camera,Electronics,North,2,20,64000.0,12313.59,2022,1,January,18,Tuesday,1
2023-07-20,Tablet,Electronics,East,5,5,95000.0,9657.79,2023,7,July,20,Thursday,3
2023-07-24,Phone,Electronics,West,1,20,24000.0,3073.55,2023,7,July,24,Monday,3
2023-11-17,Headphones,Accessories,North,3,5,11115.0,2566.75,2023,11,November,17,Friday,4
2023-09-18,Laptop,Electronics,North,4,5,266000.0,31463.24,2023,9,September,18,Monday,3
2024-05-03,Tablet,Electronics,East,4,0,80000.0,11013.55,2024,5,May,3,Friday,2
2024-08-19,Phone,Electronics,North,3,20,72000.0,16700.13,2024,8,August,19,Monday,3
2022-06-04,Tablet,Electronics,South,1,0,20000.0,5458.86,2022,6,June,4,Saturday,2
2023-05-05,Laptop,Electronics,West,3,15,178500.0,18052.17,2023,5,May,5,Friday,2
2024-02-24,Laptop,Electronics,South,2,10,126000.0,34144.13,2024,2,February,24,Saturday,1
2022-09-03,Laptop,Electronics,West,2,5,133000.0,27587.41,2022,9,September,3,Saturday,3
2024-11-28,Phone,Electronics,West,3,5,111150.0,14344.83,2024,11,November,28,Thursday,4
2024-01-29,Phone,Electronics,West,3,0,90000.0,13536.1,2024,1,January,29,Monday,1
2023-06-22,Laptop,Electronics,North,4,5,266000.0,70787.03,2023,6,June,22,Thursday,2
2024-07-09,Laptop,Electronics,North,5,10,315000.0,34659.07,2024,7,July,9,Tuesday,3
2023-02-12,Tablet,Electronics,West,5,15,85000.0,13341.61,2023,2,February,12,Sunday,1
2023-06-09,Laptop,Electronics,North,2,15,119000.0,28909.56,2023,6,June,9,Friday,2
2024-04-07,Smartwatch,Wearables,East,2,5,15200.0,1798.27,2024,4,April,7,Sunday,2
2024-06-21,Camera,Electronics,North,2,0,80000.0,8252.39,2024,6,June,21,Friday,2
2022-02-05,Headphones,Accessories,North,4,15,10200.0,2411.02,2022,2,February,5,Saturday,1
2023-11-16,Phone,Electronics,South,3,10,105300.0,13056.28,2023,11,November,16,Thursday,4
2022-01-20,Headphones,Accessories,West,1,20,2400.0,521.03,2022,1,January,20,Thursday,1
2022-11-17,Laptop,Electronics,North,5,5,432250.0,89752.42,2022,11,November,17,Thursday,4
2023-05-27,Tablet,Electronics,West,1,10,18000.0,2767.67,2023,5,May,27,Saturday,2
